Step,Time,Temp,Pressure,Volume,EnergyKinetic,EnergyPotential,EnergyTotal,EnergyTotalPerAtom,NoOfNeighbors,MinDist
1740,0.5454,24.991060088111538562,29.127446365929536398,251605.31808377601556,34.7294718930006,-71297.3432302227,-71262.6137583297,-6.6278,59,2.4948
1750,0.5510,25.110514019769667016,25.988463557237864165,251605.31808377601556,34.8954741332978,-71297.5092172828,-71262.6137431495,-6.6278,57,2.5386
1760,0.5568,25.250417007207460074,24.782230368914614616,251605.31808377601556,35.0898939319313,-71297.7036721288,-71262.6137781969,-6.6278,60,2.5948
1770,0.5625,25.373495908198908211,23.564263746111556941,251605.31808377601556,35.2609337044552,-71297.8747557175,-71262.613822013,-6.6278,61,2.6591
1780,0.5679,25.438101589528631763,22.804844418090507219,251605.31808377601556,35.3507146575624,-71297.9645448108,-71262.6138301532,-6.6278,62,2.6461
1790,0.5732,25.439153285625099699,23.027073703924990866,251605.31808377601556,35.3521761741965,-71297.9659984866,-71262.6138223124,-6.6278,62,2.6285
1800,0.5785,25.382815476486864981,23.666918939458295057,251605.31808377601556,35.2738848831476,-71297.8876951832,-71262.6138103,-6.6278,60,2.6188
1810,0.5839,25.27799671836640627,24.18263435079978052,251605.31808377601556,35.128220789621,-71297.7420110911,-71262.6137903014,-6.6278,60,2.6168
1820,0.5894,25.139283626968047969,24.947368940469210941,251605.31808377601556,34.9354545607405,-71297.549220929,-71262.6137663682,-6.6278,59,2.6226
1830,0.5951,24.984015043361605279,25.714773450022256895,251605.31808377601556,34.7196815646685,-71297.3334374138,-71262.6137558491,-6.6278,56,2.6364
1840,0.6010,24.822686023151383949,26.149780787626720979,251605.31808377601556,34.4954865263964,-71297.1092343097,-71262.6137477833,-6.6278,56,2.6579
1850,0.6070,24.66414336994855816,26.143587204944434887,251605.31808377601556,34.2751636349769,-71296.8889061786,-71262.6137425436,-6.6278,57,2.6558
1860,0.6133,24.515994521379695925,25.369744664807534207,251605.31808377601556,34.0692847625237,-71296.6830249771,-71262.6137402146,-6.6278,64,2.6537
